qid,group,type,category,note
572,wrong_null_caught,Null,wrong_premise,"no breakfast meeting; answer converts a 12:00 lunch reminder into breakfast"
578,wrong_null_caught,Null,temporal_shift,"Overwatch 3 plan from 20260121 attached to New Year's Eve 2026"
580,wrong_null_caught,Null,wrong_premise,"no customer modified requirements; answer lists unrelated requests"
583,wrong_null_caught,Null,cross_chunk_splice,"outdoor workouts + HIIT suggested by Cypher spliced into Li Hua's alternatives"
584,wrong_null_caught,Null,missing_evidence,"answer admits no diet mention, then infers one from Jennifer's lean-meat list"
589,wrong_null_caught,Null,unsupported_qualifier,"meeting at Central Perk not recorded; features taken from other chats"
594,wrong_null_caught,Null,label_noise_ambiguous_gold,"20260312_16:00 (a Thursday) records feedback on the demo shown that morning: color scheme, outreach section"
596,wrong_null_caught,Null,compound_one_clause,"bakery name supported; toppings for next delivery not stated"
597,wrong_null_caught,Null,unsupported_qualifier,"'favorite type of music' not stated; genres inferred from song lists"
600,wrong_null_caught,Null,compound_one_clause,"lecture feedback supported verbatim; Wolfgang's rehearsal role not stated"
602,wrong_null_caught,Null,label_noise_ambiguous_gold,"20260418_15:00: enjoyed the new pastries, especially the raspberry tart -- matches the answer"
608,wrong_null_caught,Null,wrong_premise,"no construction projects discussed; answer describes noise-mitigation ideas"
617,wrong_null_caught,Null,unsupported_qualifier,"flowers bought/suggested exist; 'planted based on residents' suggestions' not stated"
619,wrong_null_caught,Null,wrong_premise,"no marathon in the corpus; endurance tips are real"
625,wrong_null_caught,Null,label_noise_ambiguous_gold,"20260928_10:00 gives 150 cm x 120 cm before curtains -- matches the answer"
635,wrong_null_caught,Null,unsupported_qualifier,"reasons for the change are supported (20260204); 'for the following month' is not"
6,false_abstention,Multi,other,"answer cites a wrong message order/date (20260226_17:00 as prior); one evidence chunk absent"
10,false_abstention,Multi,other,"first evidence chunk absent; the 'after' ordering is not established from Sources"
14,false_abstention,Multi,other,"answer dates the article to 20261218; Sources place it at 20260711"
15,false_abstention,Multi,other,"2 of 3 evidence chunks absent; 'several weeks before' unverifiable"
16,false_abstention,Multi,other,"wrong dates (October 23); both evidence chunks absent"
19,false_abstention,Multi,other,"answer reverses the conversation order (Sekiro 20261001 came first)"
21,false_abstention,Multi,other,"Pep Guardiola debate chunk absent; ordering not established"
23,false_abstention,Multi,other,"answer says Wolfgang suggested hot pot; Li Hua did"
24,false_abstention,Multi,other,"pull-up challenge dated February 5 2026; Sources say 20261129"
25,false_abstention,Multi,other,"practical-techniques chunk absent; ordering speculated"
26,false_abstention,Multi,other,"answer says arrival on Dec 19; Sources show touchdown on 20261223"
32,false_abstention,Multi,multihop_synthesis,"both chunks present (ranks 11, 8); answer combines request and Alice's hiring correctly"
35,false_abstention,Multi,other,"both evidence chunks absent; quotes unverifiable"
41,false_abstention,Multi,other,"answer claims 'no explicit mention' of the invitation; 20260801_19:00 shows it"
46,false_abstention,Multi,other,"size question dated November 23; Sources say 20261116"
47,false_abstention,Multi,multihop_synthesis,"both chunks present; interval computed from the correct timestamps"
53,false_abstention,Multi,other,"answer claims no feedback exists; 20260122_15:00 is that feedback"
60,false_abstention,Multi,other,"music-festival reminder chunk absent; introduction quote unverifiable"
61,false_abstention,Multi,multihop_synthesis,"both chunks present; booking then confirmation quoted and ordered correctly"
72,false_abstention,Single,harmless_summary_sentence,"FitZone quoted correctly; adds a distractor sentence about a pasta place"
89,false_abstention,Single,harmless_summary_sentence,"date and change correct; adds 'significant adjustment' commentary"
128,false_abstention,Single,harmless_summary_sentence,"verbatim quotes; closing summary sentence"
161,false_abstention,Single,harmless_summary_sentence,"family gatherings / relaxing afternoons correct; 'this indicates' summary"
173,false_abstention,Single,paraphrased_evidence,"phone number and context restated exactly"
183,false_abstention,Single,long_context_miss,"verbatim quote from evidence at rank 13"
225,false_abstention,Single,other,"adds contractor / air-conditioning actions not in the evidence chunk"
245,false_abstention,Single,harmless_summary_sentence,"Skellige and Toussaint paraphrased correctly; summary sentences"
255,false_abstention,Single,other,"evidence chunk absent; opinion attribution unverifiable"
256,false_abstention,Single,other,"evidence chunk absent; opinion attribution unverifiable"
280,false_abstention,Single,other,"adds general-knowledge claims (force absorption) beyond the Sources"
287,false_abstention,Single,harmless_summary_sentence,"quotes from the group chat; 'particularly significant' commentary"
294,false_abstention,Single,harmless_summary_sentence,"Brienne lesson paraphrased correctly; extra reflective sentences"
296,false_abstention,Single,harmless_summary_sentence,"motive paraphrased correctly; 'LiHua appreciates' commentary"
341,false_abstention,Single,harmless_summary_sentence,"audio-settings quote correct; 'significantly enhance' commentary"
390,false_abstention,Single,other,"answer says Wolfgang proposed 7 pm; Li Hua did (evidence id carries a stray 'Time: ' prefix)"
396,false_abstention,Single,other,"evidence chunk absent; several claims unverifiable"
404,false_abstention,Single,other,"evidence chunk absent; attribution of the quote unverifiable"
