Question,Gold Answer,Evidence,Type
When was the first time Li Hua had dinner with Wolfgang this year?,20260108,20260108_11:00,Single
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Yes,20260127_20:30<and>20260227_18:30<and>20260301_10:00<and>20260330_18:00<and>20260331_17:00<and>20260429_17:00<and>20260429_18:00,Multi
Which game does Ileana mention for its unique world and storytelling?,Horizon Zero Dawn,20261011_11:00,Single
What new flavor is LiHua looking for as he mentions to Hailey in their conversation on 20260714?,a matcha flavor,20260714_12:00,Single
Which game's narrative does Bronwyn appreciate for its father-son dynamic?,God of War,20261011_11:00,Single
When did Li Hua inform Adam Smith that the rent was transferred?,20260301_10:00,20260301_10:00,Single
What does Farrah admire about Rodri's play?,His ability to break up opposition plays and transition the ball,20261006_10:00,Single
What did Li Hua enjoy the most about the restaurant that he and Wolfgang visited for dinner on 20260514?,The pasta dish and the dessert,20260514_22:00,Single
What is Wolfgang's preference for a burger patty's doneness?,well-done,20260828_10:00,Single
What does LiHua say Cersei's power came at the price of?,Meaningful connections,20261010_10:10,Single
"What is Aisling's opinion on using traps in ""Octopath Traveler""?",They are a game changer,20260922_12:00,Single
Who offers to help with setting up for the garage sale?,AdamSmith,20260814_15:00,Single
What type of gameplay does Jareth enjoy after a big challenge?,Relaxing gameplay,20260922_12:00,Single
What does Emily think will happen next in the series in terms of story development?,The stakes will rise and alliances will evolve,20260922_17:00,Single
What does Li Hua think about improvisation during the jam session?,Improvisation sounds great,20260402_19:00,Single
What were the specific requirements that the customers modified and how did Li Hua respond to each change?,Insufficient information,N/A,Null
What does ChaeSong-hwa suggest binaural tones could enhance?,The sound and listening experience for their audience,20260929_11:00,Single
Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,No,20260930_16:00<and>20261015_15:00,Multi
What does Sova plan to do to keep their cardio interesting?,Sova plans to mix it up with different types of cardio exercises,20260817_12:15,Single
Who informs LiHua that the new software is almost done?,WolfgangSchulz,20261002_13:00,Single
What new components are being added to the garden project as Turalyon announces it on 20260806?,incorporating sustainable practices like recycling and composting into our renovation project,20260806_16:30,Single
When is the construction of the garden supposed to start?,This Wednesday (20260520),20260518_10:00,Single
