question,type,run,verdict
What type of flowers were planted in the garden based on the residents' suggestions discussed by Turalyon?,Null,1,accurate
What type of cake does Li Hua plan to bring to the meeting with Yuriko to celebrate her studio's homepage redesign?,Null,1,accurate
What specific gifts did Wolfgang buy for Li Hua during his trip to Hong Kong?,Null,1,neither
"What specific techniques did Li Hua use to prepare for a marathon race that took place on September 1, 2026?",Null,1,accurate
"What type of air-conditioner did Li Hua select for Adam's living room, and how does its temperature regulation compare to the one in the basement?",Null,1,accurate
What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,Null,1,accurate
What type of traditional games did Wolfgang Schulz play with Li Hua during the Lunar New Year celebration?,Null,1,neither
What flavor of cake did Hailey plan to bake for the bakery's anniversary celebration in February?,Null,1,accurate
What color did Li Hua paint his house before the community garden renovation began?,Null,1,accurate
What strategy did Li Hua use to score a goal in the championship match against their rival team?,Null,1,accurate
What type of protein shake does Li Hua prefer to drink before his workout sessions?,Null,1,accurate
What is the name of the concert that Wolfgang and Li Hua will attend on March 7th?,Null,1,accurate
"What type of exercise does Li Hua prefer to do at the gym, and what time does Wolfgang usually go to the gym?",Null,1,error
What type of special dietary restrictions does Li Hua follow when preparing meals for his family?,Null,1,accurate
What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,Null,1,error
What are the reasons behind Jennifer and Li Hua's decision to change their training routine for the following month?,Null,1,error
What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?,Null,1,neither
What dish did Li Hua order for dessert after having Sichuan hot pot with Wolfgang Schulz?,Null,1,accurate
What are the sales figures for the PS5 exclusive games released in 2026 that Thane discussed with group members?,Null,1,accurate
What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?,Null,1,neither
What flavor of new bread products did Li Hua really enjoy at the bakery's anniversary event?,Null,1,neither
What is the name of the last song Wolfgang played using the new drum practice app?,Null,1,accurate
What specific sleep techniques did Li Hua use to improve her study habits after reading the neuroscience article and discussing the warm shower with Chae?,Null,1,neither
What song did Li Hua perform at the local music festival in 2026?,Null,1,accurate
"What specific design features did Li Hua suggest for Yuriko's studio homepage during their meeting at ""Central Perk""?",Null,1,error
What specific colors of paint does Li Hua plan to use for the basement walls after decorating with potted plants?,Null,1,accurate
What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?,Null,1,neither
What type of diet is Li Hua following to support his training regimen and sleep schedule?,Null,1,neither
"What did Li Hua eat for dinner on January 20, 2026?",Null,1,accurate
What time did Chae first suggest they visit the music festival in the morning?,Null,1,accurate
What were Raze's personal reasons for becoming a fitness coach before discussing pull-up techniques?,Null,1,accurate
"What is the total cost of the air conditioner installation, including labor and materials, if Li Hua had previously discussed a budget of $2,000 with a different contractor?",Null,1,accurate
What specific construction projects were discussed at the meeting between Turalyon and the residents regarding noise control?,Null,1,error
What is the nutritional value of the new line of high-protein breads compared to traditional white bread?,Null,1,neither
What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?,Null,1,accurate
"What is the name of the restaurant where Li Hua and Wolfgang had dinner on the night of June 9, 2026?",Null,1,accurate
What movie did Li Hua and Wolfgang decide to watch together on New Year's Eve 2026?,Null,1,accurate
What is the favorite type of music that Li Hua and Yuriko plan to play together?,Null,1,error
What is the exact reason for Li Hua's unexpected work meeting on Thursday?,Null,1,accurate
"What toppings did Hailey put on the bread for Li Hua's next delivery, and what is the name of the bakery she gets her bread from?",Null,1,error
What specific dietary changes did Li Hua implement in his training regimen as a result of Jennifer's advice on endurance and flexibility?,Null,1,neither
What type of fusion music does Wolfgang Schulz plan to create with Li Hua during their weekend trip to the music store?,Null,1,neither
What is Li Hua's favorite type of exercise outside of pull-ups?,Null,1,accurate
What did Jennifer say to Li Hua about their plan for a team swimming competition in December?,Null,1,accurate
What specific diet did Li Hua follow to achieve his fitness results that Jennifer Moore recommended?,Null,1,neither
What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,Null,2,accurate
What specific sleep techniques did Li Hua use to improve her study habits after reading the neuroscience article and discussing the warm shower with Chae?,Null,2,neither
What are the reasons behind Jennifer and Li Hua's decision to change their training routine for the following month?,Null,2,error
What type of flowers were planted in the garden based on the residents' suggestions discussed by Turalyon?,Null,2,neither
"What specific techniques did Li Hua use to prepare for a marathon race that took place on September 1, 2026?",Null,2,accurate
What is Li Hua's favorite type of exercise outside of pull-ups?,Null,2,accurate
What movie did Li Hua and Wolfgang decide to watch together on New Year's Eve 2026?,Null,2,accurate
"What is the total cost of the air conditioner installation, including labor and materials, if Li Hua had previously discussed a budget of $2,000 with a different contractor?",Null,2,accurate
What dish did Li Hua order for dessert after having Sichuan hot pot with Wolfgang Schulz?,Null,2,accurate
What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?,Null,2,accurate
What song did Li Hua perform at the local music festival in 2026?,Null,2,accurate
What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?,Null,2,neither
What is the favorite type of music that Li Hua and Yuriko plan to play together?,Null,2,error
"What type of air-conditioner did Li Hua select for Adam's living room, and how does its temperature regulation compare to the one in the basement?",Null,2,accurate
"What toppings did Hailey put on the bread for Li Hua's next delivery, and what is the name of the bakery she gets her bread from?",Null,2,error
What color did Li Hua paint his house before the community garden renovation began?,Null,2,accurate
What is the name of the last song Wolfgang played using the new drum practice app?,Null,2,accurate
What specific gifts did Wolfgang buy for Li Hua during his trip to Hong Kong?,Null,2,neither
What is the exact reason for Li Hua's unexpected work meeting on Thursday?,Null,2,accurate
