question,type,run,verdict
"What does LiHua like most about ""Warzone""?",Single,1,accurate
What does JakeWatson suggest for refueling after a soccer game?,Single,1,error
Why does WolfgangSchulz inquire of the band members about health products?,Single,1,error
"What is the name of the restaurant where Li Hua and Wolfgang had dinner on the night of June 9, 2026?",Null,1,accurate
"What does LiHua appreciate about the series ""Chernobyl""?",Single,1,accurate
"Does LiHua plan to play ""Warzone"" after the updates?",Single,1,accurate
What does Ivor do the day before a game to help with hydration?,Single,1,accurate
When is Wolfgang Schulz's promotion celebration dinner?,Single,1,accurate
What is LiHua's feeback on Hailey's new artisanal donuts?,Single,1,neither
What else does Henley plan to work on during the practice?,Single,1,accurate
What was ThaneChambers' favorite horse-related side quest in Red Dead Redemption 2?,Single,1,error
When does Li Hua ask Jennifer Moore about adjusting the protein in her meal plan?,Multi,1,error
What game does ThaneChambers consider their top choice for storytelling?,Single,1,accurate
What songs does Chae propose to the Jolly band to try out on Sunday according to the conversation on 20260521?,Single,1,neither
Which scene stood out for Li Hua in The Witcher 3?,Single,1,accurate
What type of pizza does WolfgangSchulz prefer?,Single,1,neither
What color did Li Hua decide to paint the walls of the basement after completing the renovation?,Null,1,accurate
What does Aurora say about the atmosphere at the Bernabéu during tough games?,Single,1,accurate
"What type of feedback did Li Hua provide to Chae regarding the community medical knowledge lecture, and what is Wolfgang's role in the band rehearsal?",Null,1,error
What does Li Hua plan to do to clear their head?,Single,1,error
What is the current status of the curtains according to LiHua?,Single,1,error
Who does Jake believe has the potential to be a game-changer for Barca?,Single,1,accurate
Which moment involving Tyrion is Merrick's favorite?,Single,1,accurate
What does Dyllan think about crossplay?,Single,1,accurate
Who will bring cones for drills at the match?,Single,1,error
What does Briar remind everyone to bring to practice?,Single,1,accurate
Is the time interval more than 7 days between Adam asking LiHua to measure the size of the window and Adam informing Li Hua that he has booked the curtain of the right size?,Multi,1,error
What places in Europe does WolfgangSchulz remember as stunning in Europe?,Single,1,accurate
What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?,Null,1,accurate
Did Li Hua ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments?,Multi,1,accurate
Why is LiHua praising Chae in their conversation on 20260717?,Single,1,error
What is the topic of discussion between Li Hua and Wolfgang Schulz on burger preferences?,Single,1,error
What specific colors of paint does Li Hua plan to use for the basement walls after decorating with potted plants?,Null,1,accurate
Did Wolfgang's promotion announcement occur before he invited Li Hua for dinner on 20260430?,Multi,1,error
When is the garage sale being discussed?,Single,1,accurate
"What payment method did Li Hua use to purchase groceries from the store on April 15, 2026?",Null,1,accurate
Li Hua has a difficult client. When did he solve that client's project?,Multi,1,neither
What is Li Hua's opinion on the characters in Succession?,Single,1,accurate
What do LiHua and Emily agree on regarding the anticipation for the next episode?,Single,1,accurate
What kind of activities does MalfurionStormrage suggest for the gathering?,Single,1,accurate
What type of gameplay does Jareth enjoy after a big challenge?,Single,1,accurate
What time does Hailey Johnson start baking?,Single,1,neither
Would LiHua be interested in playing co-op with the group?,Single,1,error
How does Fionnuala describe the convenience of the Control Center's audio settings adjustment?,Single,1,accurate
"What was LiHua's unforgettable match in ""Warzone""?",Single,1,accurate
When did Li Hua inform Adam Smith that the rent was transferred?,Single,1,error
Which regions in Witcher 3 did Li Hua and Thane Chambers discuss?,Single,1,accurate
Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Multi,1,neither
What player's midfield importance does Aurora highlight?,Single,1,accurate
What type of fusion music does Wolfgang Schulz plan to create with Li Hua during their weekend trip to the music store?,Null,1,accurate
"Who is ThaneChambers' favorite character in ""Octopath Traveler""?",Single,1,accurate
Did Li Hua tell Wolfgang about making a new friend before Yuriko reminded the group members to meet for the music festival?,Multi,1,accurate
What does LiHua think makes Messi the best?,Single,1,accurate
How many servings of vegetables should LiHua aim for each day to keep body in good shape according to Jennifer?,Single,1,error
Did Li Hua send a message to Jennifer asking for her opinion on protein supplements before he consulted her about his daily protein powder consumption?,Multi,1,error
Question: Did Jennifer remind Li Hua to consume enough protein after the workout before she shared tips with the group members on common mistakes to avoid after an intense workout?,Multi,1,neither
Did Li Hua ask Jennifer for advice on how to prevent muscle soreness after an intense workout session before he told her that he feels soreness in his arm muscles after the workout this week?,Multi,1,error
What does LiHua find as a perfect place to work in his conversation with Chae?,Single,1,neither
"Which moment does LiHua find memorable for the ""Man in Black""?",Single,1,accurate
What is the nutritional value of the new line of high-protein breads compared to traditional white bread?,Null,1,accurate
Which character's dynamic with Cersei is mentioned as complicated?,Single,1,accurate
What does Li Hua like about the curtains?,Single,1,neither
What does Lachlan appreciate about Arya Stark's character development?,Single,1,accurate
"What does ThaneChambers say about ""Warzone""?",Single,1,accurate
What tips does Jennifer give to LiHua about preventing muscle soreness after a tough workout?,Single,1,accurate
What does WolfgangSchulz want to check out in Italy?,Single,1,accurate
What type of drink does LiHua suggest to have with hot pot?,Single,1,accurate
Who introduced the bread delivery service and recommend Alice for the delivery?,Multi,1,accurate
What new songs are LiHua working on lately on his guitar as of 20260908?,Single,1,accurate
What does Lachlan think about Jaime's final decision to protect Cersei?,Single,1,accurate
What brands of air-conditioners does LiHua recommend to Wolfgang?,Single,1,accurate
What tip does Jennifer give to the gym members on 20260630?,Single,1,neither
Has EmilyBurnett ever met anyone like Shedlon Cooper in her real life?,Single,1,accurate
What TV show does EmilyBurnett recommend LiHua to watch?,Single,1,accurate
What does LiHua want to know about WolfgangSchulz's pizza preference?,Single,1,accurate
What is the name of the song that Li Hua will sing at the karaoke on 20260425?,Null,1,accurate
Who is Real Madrid's coach according to Ivor?,Single,1,accurate
Who offers to help with the installation of the curtains?,Single,1,accurate
What is the purpose of starting with bodyweight exercises?,Single,1,neither
What feedbacks does Hailey ask from LiHua in July?,Multi,1,error
Did it take more than a week from Adam asking LiHua about the ideal installation date to Adam reminding LiHua about the contractor team installing air-conditioner at 18:00?,Multi,1,accurate
What is Kendall's relationship with Logan like according to the group's discussion?,Single,1,accurate
How does YurikoYamamoto feel about adding a new dimension to their music with binaural tones?,Single,1,neither
"What is LiHua curious about regarding the ""Man in Black"" in Westworld?",Single,1,accurate
Who initiates the discussion about binaural tones?,Single,1,neither
What suggestions does Jennifer give to LiHua to help boost his endurance?,Single,1,error
What is WolfgangSchulz's favorite risotto memory?,Single,1,accurate
What is Li Hua looking forward to trying from the summer promotion?,Single,1,error
Who is the most hateable character in Game of Thrones in Orion's opinion?,Single,1,accurate
What will be a gift for Li Hua if he chooses to renew the fitness contract with Jennifer Moore?,Single,1,neither
Who initiates the discussion about game storytelling?,Single,1,accurate
What did Wolfgang Schulz suggest Li Hua to do when Li Hua face a difficult client?,Single,1,neither
What was the exact date and time when Cersei Lannister first met Jaime Lannister in the Game of Thrones series?,Null,1,accurate
Does LiHua play the game solo or with friends?,Single,1,accurate
What will special guest speaker be talking about as Jennifer mentions to LiHua?,Single,1,neither
What is Li Hua's favorite type of exercise outside of pull-ups?,Null,1,error
Who suggested Li Hua keep a clear log of all the changes requested by the client?,Single,1,neither
Which game is LiHua currently obsessed with for its graphics and storytelling?,Single,1,accurate
What were the specific requirements that the customers modified and how did Li Hua respond to each change?,Null,1,neither
What was special about the match against Manchester City in 2022 according to the group discussion?,Single,1,accurate
What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Single,1,neither
"What does EmilyBurnett think is the main motive for the ""Man in Black""?",Single,1,accurate
Who initiates the suggestion to go to the grocery store after work on 20260923?,Single,1,neither
Which performance does Chae want the band members to check out in their discussion on 20260715?,Single,1,neither
What does LiHua say about the seafood in Cinque Terre?,Single,1,accurate
What is the proposed solution for making the garden more inviting on sunny days?,Single,1,accurate
Who does Li Hua mention as their favorite character from The Witcher 3?,Single,1,accurate
What tips on balancing work and personal hobbies does LiHua give to Chae?,Single,1,neither
Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,Single,1,accurate
What does Li Hua suggest to Hailey regarding the frequency of bread delivery?,Single,1,error
Which game does Helios suggest for tactical fun with a great story and character development?,Single,1,accurate
"What does LiHua predict will happen in ""The Rings of Power""?",Single,1,accurate
Did Li Hua provide feedback to Jennifer Moore on his new meal plan before he asked her for advice on a healthy meal plan?,Multi,1,accurate
Where does Li Hua plan to meet Yuriko Yamamoto to show the final website?,Single,1,accurate
When is Wolfgang and LiHua going to the photography exhibition on 20260805?,Single,1,accurate
What does Farrah admire about Rodri's play?,Single,1,accurate
How long should each stretch be held according to JakeWatson?,Single,1,neither
What will LiHua bring for everyone to enjoy after the match?,Single,1,accurate
What specific diet did Li Hua follow to achieve his fitness results that Jennifer Moore recommended?,Null,1,accurate
What game has Gavriel been hooked on recently for its blend of RPG elements and social simulation?,Single,1,accurate
What were the specific details of the negotiation between Jake Watson and Li Hua regarding player transfers from FC Barcelona to FC Bayern Munich?,Null,1,accurate
"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Multi,1,accurate
Which theme of Westworld resonates the most for LiHua?,Single,1,error
What event does LiHua think is an opportunity for the Jolly band to perform in front of the crowd?,Single,1,accurate
How does Saffron feel about Jaime's choice to protect Cersei?,Single,1,accurate
What time does Turalyon plan to limit noisy activities?,Single,1,neither
When is the anniversary event of Hailey Johnson's bakery shop?,Single,1,accurate
What time does LiHua propose for dinner on 20260930?,Single,1,accurate
What TV series does LiHua mention that they are curious about in relation to The Lord of the Rings?,Single,1,accurate
What TV series does EmilyBurnett remember LiHua likes?,Single,1,accurate
Li Hua accidentally broke a light fixture once. What did Adam say about the light fixture?,Single,1,neither
Did Li Hua ask Wolfgang Schulz for a recommendation on a gym or fitness center before asking Jennifer Moore for book recommendations on fitness nutrition?,Multi,1,error
What flavor of new bread products did Li Hua really enjoy at the bakery's anniversary event?,Null,1,error
What game is ThaneChambers currently playing?,Single,1,error
What is the size of the basement?,Single,1,neither
What are LiHua's usual recovery snacks after a game?,Single,1,neither
What does Quillan suggest could have been a game-changer for Cersei?,Single,1,accurate
What does WolfgangSchulz suggest the group do before the upcoming karaoke night?,Single,1,accurate
Who are JakeWatson's and LiHua's favorite defenders?,Single,1,accurate
What special offerings did Hailey have for her backery shop in the month of May?,Multi,1,error
"What is Aisling's opinion on using traps in ""Octopath Traveler""?",Single,1,error
When is the Freelancer Group Meeting scheduled for according to the conversation between LiHua and Yuriko?,Single,1,accurate
Who suggests going out for hot pot?,Single,1,accurate
Which match does JakeWatson remember for Real Madrid's comeback?,Single,1,accurate
What does Lachlan find haunting about Cersei's end?,Single,1,accurate
What does Hailey Johnson want Li Hua to help with at the bakery according to their discussion on 20260731?,Single,1,accurate
What game does ThaneChambers remember as LiHua's favorite?,Single,1,error
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,1,error
How does LiHua feel about the soreness in their arm muscles?,Single,1,neither
What does Aisling find emotionally impactful about Red Dead Redemption 2's ending?,Single,1,accurate
What does Li Hua plan to celebrate Chinese Lunar New Year?,Single,1,accurate
What does EmilyBurnett say Cersei's choices led to?,Single,1,accurate
"What aspect of ""Black Myth: Wukong"" does LiHua find the most impressive?",Single,1,accurate
"How does LiHua describe the balance of combat and puzzles in the game ""Black Myth: Wukong""?",Single,1,neither
In which year did Barca lose 4-0 against Bayern as mentioned in the conversation?,Single,1,accurate
