question,type,v3r_majority,verdict,raw,skipped,latency_s,prompt_tokens,completion_tokens,v3_input_tokens,n_sources
"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Multi,error,UNSUPPORTED,UNSUPPORTED,,1.165839249966666,4441,3,6407,15
"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.904488708009012,3888,3,5800,17
"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.897778999991715,4157,3,6128,6
Did Chae tell Li Hua that taking a warm shower before sleeping can improve the sleep quality before sharing the neuroscience article with her?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9333814580459148,3956,3,5698,10
Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9397961250506341,4313,3,6176,12
Did Jennifer remind Li Hua about proper nutrition and hydration before Jake shared his tips for staying hydrated during the match?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.8769035000586882,3941,3,5672,11
Did Li Hua ask Thane about his opinion on The Last of Us before he asked about Sekiro: Shadows Die Twice?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9287420000182465,3477,3,5517,5
Did the group members debate about the best football manager in the Premier League history after they debated if Pep Guardiola is the greatest soccer manager in football history?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.8742247089976445,3537,3,5995,3
Did the discussion about Jaime Lannister's character occur after the discussion about Cersei Lannister's character?,Multi,neither,UNSUPPORTED,UNSUPPORTED,,0.9095387910492718,3931,3,6343,3
Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.960635417024605,4484,3,6661,17
Did Jennifer challenge Li Hua to do 60 pull-ups in a training session after she challenged him to do 100 pushups?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.8677932500140741,4123,3,6181,15
Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9434587500290945,4345,3,6096,7
Did Wolfgang arrive in Hong Kong after he informed Li Hua about his upcoming trip?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9707397079328075,4593,3,6593,17
"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Multi,,UNSUPPORTED,UNSUPPORTED,,1.0148476249305531,4426,3,6270,10
Has Wolfgang ever been to Hong Kong?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.8918516669655219,4483,3,6656,17
Who knows about Wolfgang going to Hong Kong?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.8922126250108704,3815,3,6011,14
Who introduced the bread delivery service and recommend Alice for the delivery?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,1.182333083008416,4626,3,6982,31
What opportunity did LiHua create for Chae to meet Wolfgang and Yuriko?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9737707088934258,4593,3,6574,9
Who does LiHua want to invite to the photo exhibition and who goes with him (during August)?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9598637078888714,4585,3,6455,16
Is the time interval more than 3 days between LiHua asking Adam to help him install a curtain on the basement window and Adam asking LiHua to measure the size of the window?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.9636588750872761,4486,3,6228,17
Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9554749579401687,4397,3,6162,26
Is the time interval more than 7 days between Adam asking LiHua about the size of the fridge and Adam informing LiHua that the fridge will be delivered at 4pm next day?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,1.0348285000072792,4698,3,6153,22
Wolfgang suddenly becomes very concerned about good body shape and healthy food choices in December. What are the two conversations he had with LiHua in December that reflect this?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.9891211249632761,4771,3,6352,17
Did Li Hua agree to have dinner with Wolfgang after he told Wolfgang about the lunch arrangement?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.9506436660885811,4300,3,6271,20
Did Li Hua provide feedback to Jennifer Moore on his new meal plan before he asked her for advice on a healthy meal plan?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9478951250202954,4398,3,6190,13
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,error,UNSUPPORTED,UNSUPPORTED,,0.9235478749033064,4255,3,6108,25
Did Li Hua tell Wolfgang about making a new friend before Yuriko reminded the group members to meet for the music festival?,Multi,accurate,UNSUPPORTED,UNSUPPORTED,,1.0484020420117304,4463,3,6462,9
"Did Yuriko tell Li Hua about booking a seat at the ""Central Perk"" cafe before Li Hua sent her a message to confirm the details of their next meeting?",Multi,accurate,UNSUPPORTED,UNSUPPORTED,,0.9826312919612974,4553,3,6404,17
What is the name of the gym that Wolfgang recommended LiHua to go to?,Single,accurate,UNSUPPORTED,UNSUPPORTED,,0.8624268340645358,3292,3,5155,8
