id,nhanh,luot,kieu_cau_tra_loi,phan_quyet_gemini,cau_hoi
N001,VEC,vec,khẳng định,error,What is the name of the concert that Wolfgang and Li Hua will attend on March 7th?
N002,VEC,vec_s303,từ chối rồi suy đoán,accurate,What color did Li Hua paint his house before the community garden renovation began?
N003,B1,b1_s202,từ chối thuần,accurate,What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?
N004,V3,v3_r2,khẳng định,error,What specific construction projects were discussed at the meeting between Turalyon and the residents regarding noise control?
N005,B1,b1_s101,khẳng định,error,What is the favorite type of music that Li Hua and Yuriko plan to play together?
N006,B2,b2_s202,khẳng định,error,What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?
N007,B1,b1_s303,từ chối thuần,accurate,What color did Li Hua paint his house before the community garden renovation began?
N008,B2,b2_s202,từ chối rồi suy đoán,neither,What is the nutritional value of the new line of high-protein breads compared to traditional white bread?
N009,B2,b2_s101,từ chối thuần,accurate,"What did Li Hua eat for dinner on January 20, 2026?"
N010,V3,v3_r3,từ chối thuần,accurate,What strategy did Li Hua use to score a goal in the championship match against their rival team?
N011,B1,b1_s101,khẳng định,error,"What specific design features did Li Hua suggest for Yuriko's studio homepage during their meeting at ""Central Perk""?"
N012,V3,v3_r3,khẳng định,neither,What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?
N013,B2,b2_s101,khẳng định,neither,What is the nutritional value of the new line of high-protein breads compared to traditional white bread?
N014,B1,b1_s101,từ chối thuần,accurate,What type of cake does Li Hua plan to bring to the meeting with Yuriko to celebrate her studio's homepage redesign?
N015,V3,v3_r2,từ chối rồi suy đoán,accurate,What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?
N016,VEC,vec_s202,khẳng định,accurate,What is the name of the last song Wolfgang played using the new drum practice app?
N017,VEC,vec,khẳng định,neither,"What type of exercise does Li Hua prefer to do at the gym, and what time does Wolfgang usually go to the gym?"
N018,B1,b1_s202,khẳng định,neither,What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?
N019,VEC,vec_s202,từ chối rồi suy đoán,accurate,What were Raze's personal reasons for becoming a fitness coach before discussing pull-up techniques?
N020,VEC,vec_s202,từ chối thuần,accurate,"What did Li Hua eat for dinner on January 20, 2026?"
N021,B1,b1_s101,từ chối rồi suy đoán,neither,What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?
N022,VEC,vec_s202,khẳng định,error,What type of flowers were planted in the garden based on the residents' suggestions discussed by Turalyon?
N023,VEC,vec,từ chối thuần,accurate,"What type of air-conditioner did Li Hua select for Adam's living room, and how does its temperature regulation compare to the one in the basement?"
N024,B2,b2_s101,khẳng định,neither,What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?
N025,B1,b1_s202,từ chối rồi suy đoán,accurate,What type of protein shake does Li Hua prefer to drink before his workout sessions?
N026,B2,b2_s303,từ chối rồi suy đoán,accurate,What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?
N027,VEC,vec_s202,từ chối thuần,accurate,What did Jennifer say to Li Hua about their plan for a team swimming competition in December?
N028,B1,b1_s202,từ chối thuần,accurate,What is the exact reason for Li Hua's unexpected work meeting on Thursday?
N029,VEC,vec,từ chối thuần,accurate,What are the sales figures for the PS5 exclusive games released in 2026 that Thane discussed with group members?
N030,B1,b1_s303,khẳng định,error,What movie did Li Hua and Wolfgang decide to watch together on New Year's Eve 2026?
N031,B1,b1_s202,từ chối rồi suy đoán,neither,What type of diet is Li Hua following to support his training regimen and sleep schedule?
N032,V3,v3_r3,từ chối thuần,accurate,What did Jennifer say to Li Hua about their plan for a team swimming competition in December?
N033,B2,b2_s303,khẳng định,accurate,What dish did Li Hua order for dessert after having Sichuan hot pot with Wolfgang Schulz?
N034,VEC,vec_s303,từ chối rồi suy đoán,error,"What type of exercise does Li Hua prefer to do at the gym, and what time does Wolfgang usually go to the gym?"
N035,VEC,vec_s303,từ chối rồi suy đoán,accurate,What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?
N036,B2,b2_s202,khẳng định,error,What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?
N037,B1,b1_s101,từ chối thuần,accurate,What type of traditional games did Wolfgang Schulz play with Li Hua during the Lunar New Year celebration?
N038,V3,v3,từ chối rồi suy đoán,neither,What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?
