question,type,run,verdict
What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,Null,1,error
"What type of feedback did Li Hua provide to Chae regarding the community medical knowledge lecture, and what is Wolfgang's role in the band rehearsal?",Null,1,error
"What is LiHua curious about regarding the ""Man in Black"" in Westworld?",Single,1,accurate
What movie did Li Hua and Wolfgang decide to watch together on New Year's Eve 2026?,Null,1,error
What flavor of cake did Hailey plan to bake for the bakery's anniversary celebration in February?,Null,1,accurate
What time does LiHua propose for dinner on 20260930?,Single,1,accurate
What type of equipment does Wolfgang Schulz use when he works out at the gym?,Null,1,accurate
What specific sleep techniques did Li Hua use to improve her study habits after reading the neuroscience article and discussing the warm shower with Chae?,Null,1,neither
What time did Chae first suggest they visit the music festival in the morning?,Null,1,accurate
Who is the most hateable character in Game of Thrones in Merrick's opinion?,Single,1,accurate
What TV show does EmilyBurnett recommend LiHua to watch?,Single,1,error
Did Jake share common knowledge about offside in soccer with Li Hua before he passed practical techniques to Li Hua on how to avoid offside for a forward?,Multi,1,accurate
"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Multi,1,error
Wolfgang suddenly becomes very concerned about good body shape and healthy food choices in December. What are the two conversations he had with LiHua in December that reflect this?,Multi,1,error
What color was the curtain that Li Hua chose for his living room?,Null,1,accurate
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,1,error
What were Li Hua's specific fitness goals and how did Jennifer's advice on nutrition influence them during his training for a marathon?,Null,1,error
Did Li Hua ask Jennifer Moore for book recommendations on fitness nutrition before she announced the special guest speaker at the gym?,Multi,1,accurate
"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Multi,1,accurate
What color did Li Hua paint his house before the community garden renovation began?,Null,1,accurate
What dish did Li Hua order for dessert after having Sichuan hot pot with Wolfgang Schulz?,Null,1,accurate
What specific brand of protein supplement does Jennifer recommend for Li Hua's weight loss journey?,Null,1,accurate
How does strength training help prevent soccer injuries?,Single,1,accurate
What alternative training sports does Li Hua consider besides the current routine mentioned in his conversation with Jennifer?,Null,1,error
What is the favorite type of music that Li Hua and Yuriko plan to play together?,Null,1,error
