question,type,n_full,n_kept,n_dropped,kept,dropped
Did Adam Smith send a message to Li Hua about the upcoming building maintenance schedule before the administrators announced a temporary change in the construction schedule due to weather conditions?,Multi,6,5,1,"[""Adam Smith"", ""Li Hua"", ""building maintenance schedule"", ""administrators"", ""construction schedule""]","[""weather conditions""]"
"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Multi,4,4,0,"[""Wolfgang"", ""Li Hua"", ""Star Wars: A New Hope"", ""Overwatch 3""]",[]
Did Li Hua agree to go out for dinner after Wolfgang first asked him if he wanted to go out for dinner?,Multi,3,3,0,"[""Li Hua"", ""Wolfgang"", ""dinner""]",[]
Did Li Hua send a message to Jennifer thanking her for the new training schedule before he requested a change in his training schedule for Thursday?,Multi,4,4,0,"[""Li Hua"", ""Jennifer"", ""training schedule"", ""Thursday""]",[]
Did Li Hua ask Jennifer for advice on how to prevent muscle soreness after an intense workout session before he told her that he feels soreness in his arm muscles after the workout this week?,Multi,4,4,0,"[""Li Hua"", ""Jennifer"", ""muscle soreness"", ""workout""]",[]
Did Li Hua send a message to Jennifer asking for her opinion on protein supplements before he consulted her about his daily protein powder consumption?,Multi,4,4,0,"[""Li Hua"", ""Jennifer"", ""protein supplements"", ""protein powder consumption""]",[]
"Did Yuriko ask Li Hua for help with her studio's homepage before she booked a seat at the ""Central Perk"" cafe?",Multi,4,4,0,"[""Yuriko"", ""Li Hua"", ""studio's homepage"", ""Central Perk cafe""]",[]
Did Li Hua discuss his progress with the fitness plan before he shared a blog post about his recent fitness achievements?,Multi,4,4,0,"[""Li Hua"", ""fitness plan"", ""blog post"", ""fitness achievements""]",[]
Did Li Hua send a message to Jennifer asking if he can turn the Thursday class to Friday after he requested a change in his training schedule for Thursday?,Multi,5,5,0,"[""Li Hua"", ""Jennifer"", ""Thursday class"", ""Friday"", ""training schedule""]",[]
Did Li Hua ask Yuriko to play music together before Wolfgang proposed to pause playing musical instruments?,Multi,5,5,0,"[""Li Hua"", ""Yuriko"", ""play music"", ""Wolfgang"", ""musical instruments""]",[]
"Did Wolfgang Schulz recommend the band learns ""Viva la Vida"" by Coldplay after he and Li Hua discussed what song to play this Sunday?",Multi,4,4,0,"[""Wolfgang Schulz"", ""Viva la Vida"", ""Coldplay"", ""Li Hua""]",[]
