key,luot,verdict
v3|What type of dessert did Wolfgang plan to have with Li Hua after their hot pot dinner on a different day?,1,accurate
"vec_s202|What type of exercise does Li Hua prefer to do at the gym, and what time does Wolfgang usually go to the gym?",1,accurate
b2_s101|What is the name of the concert that Wolfgang and Li Hua will attend on March 7th?,1,accurate
vec|What is the name of the concert that Wolfgang and Li Hua will attend on March 7th?,1,error
"v3|What specific techniques did Li Hua use to prepare for a marathon race that took place on September 1, 2026?",1,accurate
b2_s101|What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,1,accurate
v3_r3|What type of fusion music does Wolfgang Schulz plan to create with Li Hua during their weekend trip to the music store?,1,error
v3_r2|What flavor of cake did Hailey plan to bake for the bakery's anniversary celebration in February?,1,accurate
b2_s101|What flavor of cake did Hailey plan to bake for the bakery's anniversary celebration in February?,1,accurate
b2_s101|What specific construction projects were discussed at the meeting between Turalyon and the residents regarding noise control?,1,error
b1_s303|What type of dessert did Wolfgang plan to order for Li Hua during their dinner celebration?,1,accurate
b1_s202|What type of traditional games did Wolfgang Schulz play with Li Hua during the Lunar New Year celebration?,1,accurate
b1_s101|What is the favorite type of music that Li Hua and Yuriko plan to play together?,1,error
b2_s303|What are the specific reasons why Li Hua prefers classical music over pop music in their discussions?,1,accurate
vec_s303|What did Jennifer say to Li Hua about their plan for a team swimming competition in December?,1,accurate
b2_s303|What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,1,accurate
b2_s101|What flavor of new bread products did Li Hua really enjoy at the bakery's anniversary event?,1,error
b2_s303|What is the exact reason for Li Hua's unexpected work meeting on Thursday?,1,accurate
v3|What are the sales figures for the PS5 exclusive games released in 2026 that Thane discussed with group members?,1,accurate
"b1_s303|What type of air-conditioner did Li Hua select for Adam's living room, and how does its temperature regulation compare to the one in the basement?",1,accurate
b1_s202|What is the amount of rent Li Hua owes to Adam Smith for the months of April and May?,1,accurate
"v3_r3|What is the total cost of the air conditioner installation, including labor and materials, if Li Hua had previously discussed a budget of $2,000 with a different contractor?",1,accurate
"b1_s303|What toppings did Hailey put on the bread for Li Hua's next delivery, and what is the name of the bakery she gets her bread from?",1,error
v3|What specific construction projects were discussed at the meeting between Turalyon and the residents regarding noise control?,1,error
b2_s202|What type of cake does Li Hua plan to bring to the meeting with Yuriko to celebrate her studio's homepage redesign?,1,accurate
v3_r2|What color did Li Hua paint his house before the community garden renovation began?,1,accurate
b1_s303|What color did Li Hua paint his house before the community garden renovation began?,1,accurate
v3|What is the name of the last song Wolfgang played using the new drum practice app?,1,accurate
"vec|What is the total cost of the air conditioner installation, including labor and materials, if Li Hua had previously discussed a budget of $2,000 with a different contractor?",1,accurate
"b1_s101|What specific techniques did Li Hua use to prepare for a marathon race that took place on September 1, 2026?",1,accurate
