key,luot,verdict
N038,1,accurate
N026,1,error
N023,1,accurate
N040,1,accurate
N010,1,accurate
N027,1,accurate
N035,1,accurate
N031,1,error
N002,1,accurate
N001,1,accurate
N003,1,accurate
N037,1,error
N014,1,accurate
N030,1,accurate
N032,1,error
N006,1,error
N039,1,accurate
N036,1,accurate
N021,1,accurate
N024,1,accurate
N012,1,accurate
N011,1,error
N008,1,accurate
N009,1,accurate
N004,1,accurate
N025,1,accurate
N033,1,accurate
N013,1,error
N028,1,accurate
N022,1,error
N015,1,accurate
N020,1,accurate
N029,1,accurate
N005,1,accurate
N019,1,accurate
N017,1,accurate
N018,1,accurate
N016,1,accurate
N034,1,accurate
N007,1,accurate
N035,2,accurate
N037,2,error
N038,2,accurate
N039,2,accurate
N040,2,accurate
N026,2,error
N032,2,error
N018,2,accurate
N025,2,accurate
N017,2,accurate
N020,2,accurate
N005,2,accurate
N027,2,accurate
N006,2,error
N021,2,accurate
N019,2,accurate
N007,2,accurate
N031,2,error
N024,2,accurate
N022,2,error
N013,2,error
N009,2,accurate
N029,2,accurate
N030,2,accurate
N015,2,accurate
N036,2,accurate
N033,2,accurate
N008,2,accurate
N012,2,accurate
N023,2,accurate
N028,2,accurate
N010,2,accurate
N004,2,accurate
N002,2,accurate
N016,2,accurate
N011,2,error
N003,2,accurate
N034,2,accurate
N001,2,accurate
N014,2,accurate
N012,3,accurate
N007,3,accurate
N004,3,accurate
N002,3,accurate
N014,3,accurate
N006,3,error
N020,3,error
N016,3,accurate
N017,3,accurate
N035,3,accurate
N026,3,error
N037,3,error
N013,3,error
N003,3,accurate
N018,3,accurate
N038,3,accurate
N025,3,accurate
N040,3,accurate
N030,3,accurate
N005,3,accurate
N011,3,error
N034,3,accurate
N010,3,accurate
N033,3,accurate
N032,3,error
N021,3,accurate
N008,3,accurate
N009,3,accurate
N023,3,accurate
N022,3,error
N028,3,accurate
N036,3,accurate
N001,3,accurate
N029,3,accurate
N015,3,accurate
N027,3,accurate
N019,3,accurate
N039,3,accurate
N031,3,error
N024,3,accurate
