question,type,run,verdict
What does Li Hua plan to do to clear their head?,Single,1,error
What does Bronwyn think about the idea of stealth missions?,Single,1,neither
Which match does JakeWatson remember for Real Madrid's comeback?,Single,1,accurate
What type of pizza does WolfgangSchulz prefer?,Single,1,accurate
What percentage discount is Hailey Johnson offering for Mother's Day pastries?,Single,1,accurate
What game has Gavriel been hooked on recently for its blend of RPG elements and social simulation?,Single,1,error
What cool thing does Wolfgang find that he wants to share with LiHua?,Single,1,error
Which regions in Witcher 3 did Li Hua and Thane Chambers discuss?,Single,1,accurate
Which character's dynamic with Cersei is mentioned as complicated?,Single,1,accurate
What does Adam Smith suggest Li Hua use to hang artwork without damaging the walls?,Single,1,accurate
What is the name of the song that Yuriko recommend to the band on 20260706?,Single,1,neither
"What type of feedback did Li Hua provide to Chae regarding the community medical knowledge lecture, and what is Wolfgang's role in the band rehearsal?",Null,1,error
What is LiHua's suggestion regarding pizza places?,Single,1,accurate
What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Single,1,accurate
What playing style is associated with Guardiola's Barcelona team?,Single,1,accurate
What is the name of the song that Li Hua will sing at the karaoke on 20260425?,Null,1,accurate
Who are JakeWatson's and LiHua's favorite defenders?,Single,1,accurate
What does ThaneChambers love about the boss battles in Black Myth: Wukong?,Single,1,accurate
What does Farrah admire about Rodri's play?,Single,1,neither
What does Thrall suggest they create to support local businesses?,Single,1,accurate
What type of equipment does Wolfgang Schulz use when he works out at the gym?,Null,1,accurate
What does LiHua think about the themes of Westworld?,Single,1,accurate
Where do they plan to meet for soccer practice?,Single,1,accurate
What time does LiHua propose for dinner on 20260930?,Single,1,neither
What are some of the upcoming PS5 exclusives discussed?,Single,1,neither
Question: Did Jennifer remind Li Hua to consume enough protein after the workout before she shared tips with the group members on common mistakes to avoid after an intense workout?,Multi,1,accurate
"What is Bronwyn's experience with going full support in tough fights in ""Octopath Traveler""?",Single,1,accurate
What does Lachlan find haunting about Cersei's end?,Single,1,accurate
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,1,error
Who informs LiHua that the new software is almost done?,Single,1,accurate
When did Li Hua receive the curtains?,Single,1,accurate
Who does LiHua ask for help with installing a curtain?,Single,1,accurate
What new components are being added to the garden project as Turalyon announces it on 20260806?,Single,1,neither
Who invites LiHua to taste a new bread recipe?,Single,1,accurate
What type of instrument does Li Hua play in the basement?,Single,1,accurate
What color was the curtain that Li Hua chose for his living room?,Null,1,accurate
What is Thane's favorite type of food that he enjoys while playing video games?,Null,1,accurate
What topics will be covered in the community medical knowledge lecture?,Single,1,accurate
"What payment method did Li Hua use to purchase groceries from the store on April 15, 2026?",Null,1,accurate
What was the exact date and time when Cersei Lannister first met Jaime Lannister in the Game of Thrones series?,Null,1,neither
"What is Aisling's opinion on using traps in ""Octopath Traveler""?",Single,1,accurate
