"group","norm_key","keep","merge","decision","reason"
"1","lihua","""LIHUA""","""LI HUA""","MERGE","Cùng PERSON; mô tả đều là Li Hua và chia sẻ nhiều neighbor chính gồm Wolfgang, Chae, Jennifer, Adam, Emily và Jake."
"2","wolfgangschulz","""WOLFGANGSCHULZ""","""WOLFGANG SCHULZ""","MERGE","Cùng PERSON; mô tả đều là Wolfgang Schulz trong nhóm nhạc và cùng nối tới Li Hua cùng Jam Session."
"3","jennifermoore","""JENNIFER MOORE""","""JENNIFERMOORE""","MERGE","Cùng PERSON và fitness coach; mô tả trùng vai trò, source_id có phần giao nhau và nhiều neighbor chung."
"4","chaesonghwa","""CHAESONG-HWA""","""CHAE SONG-HWA""","MERGE","Cùng PERSON; mô tả đều nói Chae Song-hwa tham gia jam/band và neighbor của node nhỏ là các bản viết cách của cùng nhóm người."
"5","yurikoyamamoto","""YURIKOYAMAMOTO""","""YURIKO YAMAMOTO""","MERGE","Cùng PERSON; mô tả đều bao phủ âm nhạc và studio, đồng thời cùng nối tới Li Hua, Wolfgang và Jam Session."
"6","adamsmith","""ADAMSMITH""","""ADAM SMITH""","MERGE","Cùng PERSON; cả hai mô tả Adam Smith trong các hoạt động cộng đồng, khác biệt chỉ là cách viết tên và các source bổ sung."
"7","emilyburnett","""EMILY BURNETT""","""EMILYBURNETT""","MERGE","Cùng PERSON; có mô tả resilience/peacekeepers gần như trùng nguyên văn và cùng neighbor Quillan."
"8","thanechambers","""THANECHAMBERS""","""THANE CHAMBERS""","MERGE","Cùng PERSON; cả hai mô tả Thane Chambers thảo luận trò chơi, với các source và neighbor bổ sung cho cùng hồ sơ nhân vật."
"9","jakewatson","""JAKEWATSON""","""JAKE WATSON""","MERGE","Cùng PERSON; mô tả đều về Jake Watson và bóng đá, node nhỏ nói Barca/Bayern phù hợp chủ đề của node lớn."
"10","rexxarremar","""REXXARREMAR""","""REXXAR REMAR""","MERGE","Cùng PERSON; mô tả đều là Rexxar Remar tham gia hoạt động cộng đồng, node cách chữ chỉ bổ sung source emergency-response."
"11","malfurionstormrage","""MALFURIONSTORMRAGE""","""MALFURION STORMRAGE""","MERGE","Cùng PERSON; mô tả đều là Malfurion Stormrage trong các hoạt động cộng đồng, node cách chữ chỉ bổ sung source emergency-response."
"12","tirionfordring","""TIRIONFORDRING""","""TIRION FORDRING""","MERGE","Cùng PERSON; mô tả đều về Tirion Fordring điều phối hoạt động cộng đồng và source_id có chunk chung."
"13","gromhellscream","""GROMHELLSCREAM""","""GROM HELLSCREAM""","MERGE","Cùng PERSON; mô tả đều là Grom Hellscream tham gia hoạt động cộng đồng, node cách chữ bổ sung vai trò first-aid."
"14","bloodandwine","""BLOOD AND WINE""","""""BLOOD AND WINE""","REJECT","Same normalized name but conflicting semantic roles/types QUEST vs EXPANSION and conflicting descriptions; identity not established."
"15","herecomesthesun","""HERE COMES THE SUN""","""""HERE COMES THE SUN""""","MERGE","Cả hai mô tả đúng cùng bài hát Beatles và cùng nối Wolfgang; EVENT ở node giữ lại có vẻ là type extraction không nhất quán."
"16","setlist","""SET LIST""","""SETLIST""","MERGE","Mô tả của cả hai đều là danh sách bài hát cho buổi biểu diễn; khác nhau ở khoảng trắng và type EVENT/CONCEPT."
"17","mainst","""MAIN ST""","""MAIN ST.""","MERGE","Cùng LOCATION; mô tả đều chỉ Main St là địa điểm gặp để ăn tối, khác nhau duy nhất ở dấu chấm."
"18","1000am","""10:00 AM""","""10:00AM""","REJECT","Same literal time value but sourced from different events; merging would connect unrelated event contexts."
"19","awesome","""AWESOME""","""AWESOME! 🎉""","MERGE","Cùng CONCEPT; hai mô tả đều là biểu đạt đồng tình/hào hứng, khác biệt chỉ là dấu câu và emoji; cả hai đều cô lập."
"20","kids","""KIDS""","""KIDS'","REJECT","Conflicting entity types LOCATION/PERSON and KIDS' may be a truncated possessive; identity not established."
"21","airconditioner","""AIR CONDITIONER""","""AIR-CONDITIONER""","MERGE","Cùng TECHNOLOGY; mô tả đều chỉ cùng thiết bị điều hòa, khác biệt chỉ là dấu gạch nối và các source bổ sung."
