question,type,run,verdict
How does LiHua feel about the bench press challenge proposed by JenniferMoore?,Single,1,accurate
"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",Multi,1,accurate
What is Thane's favorite type of food that he enjoys while playing video games?,Null,1,accurate
"Which boss did Gavriel struggle with the most in ""Octopath Traveler""?",Single,1,accurate
What type of equipment does Wolfgang Schulz use when he works out at the gym?,Null,1,accurate
What is Li Hua's opinion on the characters in Succession?,Single,1,accurate
Which game does Jareth praise for its storytelling in side quests?,Single,1,accurate
What was the exact date and time when Cersei Lannister first met Jaime Lannister in the Game of Thrones series?,Null,1,accurate
Which game does Ileana mention for its unique world and storytelling?,Single,1,error
What color was the curtain that Li Hua chose for his living room?,Null,1,accurate
What is the opportunity that makes Wolfgang and Yuriko acquaitances?,Multi,1,accurate
What type of passes does Briar suggest adding to the practice?,Single,1,accurate
What topics will be covered in the community medical knowledge lecture?,Single,1,accurate
What tips does Jennifer give to LiHua about preventing muscle soreness after a tough workout?,Single,1,accurate
What type of pizza does WolfgangSchulz prefer?,Single,1,accurate
What drinks does WolfgangSchulz want to have while watching the movie?,Single,1,accurate
Did Adam Smith send Li Hua a reminder about the upcoming rent due date before Li Hua sent a message about having already transferred the rent on 20260301?,Multi,1,error
"What payment method did Li Hua use to purchase groceries from the store on April 15, 2026?",Null,1,accurate
Which game does LiHua mention he's been playing on 20260920?,Single,1,accurate
When does Li Hua ask Jennifer Moore about adjusting the protein in her meal plan?,Multi,1,error
What does EmilyBurnett think about the future relevance of Westworld's themes?,Single,1,accurate
Which character's dynamic with Cersei is mentioned as complicated?,Single,1,accurate
What game has Gavriel been hooked on recently for its blend of RPG elements and social simulation?,Single,1,accurate
What playing style is associated with Guardiola's Barcelona team?,Single,1,accurate
What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Single,1,neither
What song did Yuriko and Wolfgang decide to perform together after watching the drum tutorial?,Null,1,neither
What feedbacks does Hailey ask from LiHua in July?,Multi,1,error
What could Jaime and Brienne have done to rebuild trust according to Merrick?,Single,1,accurate
Did Wolfgang ask Li Hua if she wants to have pizza for dinner after work today before he wondered if she wanted to have Sichuan hot pot for dinner tonight?,Multi,1,accurate
"What new species of flowers will be featured in the community garden renovation, according to the feedback provided by Li Hua during the progress reports?",Null,1,error
"What does LiHua predict will happen in ""The Rings of Power""?",Single,1,accurate
What was the final match score of the 2025 UEFA Champions League final?,Null,1,accurate
Where do they plan to meet for soccer practice?,Single,1,accurate
"Did Yuriko tell Li Hua about booking a seat at the ""Central Perk"" cafe before Li Hua sent her a message to confirm the details of their next meeting?",Multi,1,accurate
What does RexxarRemar suggest to have available to keep everyone hydrated during the picnic?,Single,1,accurate
What local dish did WolfgangSchulz try in Prague?,Single,1,accurate
Is the time interval more than 3 days between LiHua first asking Adam if he can buy a small fridge for the basement and Adam asking LiHua about the size of the fridge?,Multi,1,error
"What aspect of ""Black Myth: Wukong"" does LiHua find the most impressive?",Single,1,accurate
What is JenniferMoore's reminder to LiHua about on 20260919?,Single,1,accurate
